【 2017-10-30 19:12:19 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:20 】打中炸弹check:5460, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:20 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:20 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:20 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:21 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:21 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:21 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:21 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:22 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:22 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:22 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:23 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:23 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:23 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:24 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:24 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:24 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:24 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:24 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:25 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:25 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:25 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:25 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:25 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:25 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:25 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:26 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:26 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:26 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:26 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:27 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:27 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:27 】打中炸弹check:5460, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:27 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:27 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:28 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:28 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:28 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:28 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:28 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:29 】打中炸弹check:5656GBG, 23, 分:60000.00,倍数200, 子弹:300
【 2017-10-30 19:12:29 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:29 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:30 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:30 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:30 】打中炸弹check:21678, 23, 分:120000.00,倍数200, 子弹:600
【 2017-10-30 19:12:31 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:31 】打中炸弹check:WB0001, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:32 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:32 】打中炸弹check:WB0001, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:33 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:33 】打中炸弹check:1345545734, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:35 】打中炸弹check:5656GBG, 23, 分:60000.00,倍数200, 子弹:300
【 2017-10-30 19:12:37 】打中炸弹check:ifbt001959, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:39 】打中炸弹check:855848, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:39 】打中炸弹check:855848, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:40 】打中炸弹check:855848, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:41 】打中炸弹check:5460, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:41 】打中炸弹check:855848, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:41 】打中炸弹check:855848, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:12:42 】打中炸弹check:855848, 23, 分:20000.00,倍数200, 子弹:100
【 2017-10-30 19:14:46 】打中炸弹check:21678, 39, 分:0.00,倍数0, 子弹:700
【 2017-10-30 19:14:46 】打中炸弹check:21678, 39, 分:0.00,倍数0, 子弹:700
【 2017-10-30 19:14:47 】打中炸弹check:21678, 39, 分:0.00,倍数0, 子弹:700
【 2017-10-30 19:14:47 】打中炸弹check:21678, 39, 分:0.00,倍数0, 子弹:700
【 2017-10-30 19:14:47 】打中炸弹check:21678, 39, 分:0.00,倍数0, 子弹:700
【 2017-10-30 19:14:48 】打中炸弹check:5460, 39, 分:0.00,倍数0, 子弹:200
【 2017-10-30 19:14:48 】打中炸弹check:5460, 39, 分:0.00,倍数0, 子弹:200
【 2017-10-30 19:14:48 】打中炸弹check:21678, 39, 分:0.00,倍数0, 子弹:700
【 2017-10-30 19:14:48 】打中炸弹check:21678, 39, 分:0.00,倍数0, 子弹:700
【 2017-10-30 19:14:49 】打中炸弹check:1345545734, 23, 分:100000.00,倍数200, 子弹:500
【 2017-10-30 19:14:49 】打中炸弹check:21678, 39, 分:0.00,倍数0, 子弹:700
【 2017-10-30 19:14:53 】打中炸弹check:ifbt001959, 23, 分:60000.00,倍数200, 子弹:300
【 2017-10-30 19:14:53 】打中炸弹check:ifbt001959, 23, 分:60000.00,倍数200, 子弹:300
【 2017-10-30 19:14:54 】打中炸弹check:ifbt001959, 22, 分:30000.00,倍数100, 子弹:300
【 2017-10-30 19:14:54 】打中炸弹check:1345545734, 23, 分:100000.00,倍数200, 子弹:500
【 2017-10-31 18:10:14 】打中炸弹check:0155874, 33, 分:0.00,倍数0, 子弹:900
【 2017-10-31 18:10:15 】打中炸弹check:855848, 33, 分:0.00,倍数0, 子弹:300
【 2017-10-31 18:10:16 】打中炸弹check:sdg754, 33, 分:0.00,倍数0, 子弹:400
【 2017-10-31 18:10:16 】打中炸弹check:sdg754, 33, 分:0.00,倍数0, 子弹:400
【 2017-10-31 18:10:16 】打中炸弹check:0155874, 33, 分:0.00,倍数0, 子弹:900
【 2017-10-31 18:10:17 】打中炸弹check:sdg754, 33, 分:0.00,倍数0, 子弹:400
【 2017-10-31 18:10:17 】打中炸弹check:46458886, 33, 分:0.00,倍数0, 子弹:100
【 2017-10-31 18:10:17 】打中炸弹check:46458886, 33, 分:0.00,倍数0, 子弹:100
【 2017-10-31 18:10:18 】打中炸弹check:0155874, 33, 分:0.00,倍数0, 子弹:900
【 2017-10-31 18:10:19 】打中炸弹check:46458886, 33, 分:0.00,倍数0, 子弹:100
【 2017-10-31 18:10:21 】打中炸弹check:ifbt001959, 33, 分:0.00,倍数0, 子弹:300
【 2017-10-31 18:10:21 】打中炸弹check:ifbt001959, 33, 分:0.00,倍数0, 子弹:300
【 2017-10-31 18:10:22 】打中炸弹check:ifbt001959, 33, 分:0.00,倍数0, 子弹:300
【 2017-10-31 18:10:22 】打中炸弹check:lei8757286, 33, 分:0.00,倍数0, 子弹:100
【 2017-10-31 18:10:22 】打中炸弹check:ifbt001959, 33, 分:0.00,倍数0, 子弹:300
【 2017-10-31 18:10:23 】打中炸弹check:lei8757286, 33, 分:0.00,倍数0, 子弹:100
【 2017-10-31 18:10:23 】打中炸弹check:ifbt001959, 33, 分:0.00,倍数0, 子弹:300
【 2017-10-31 18:10:23 】打中炸弹check:lei8757286, 33, 分:0.00,倍数0, 子弹:100
【 2017-10-31 18:10:24 】打中炸弹check:lei8757286, 33, 分:0.00,倍数0, 子弹:100
【 2017-10-31 18:10:25 】打中炸弹check:ifbt001959, 33, 分:0.00,倍数0, 子弹:300
【 2017-10-31 18:10:25 】打中炸弹check:ifbt001959, 33, 分:0.00,倍数0, 子弹:300
【 2017-11-02 22:08:57 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:08:57 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:08:58 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:08:58 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:08:59 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:08:59 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:09:00 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:09:00 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:09:01 】打中炸弹check:ifpw0031, 39, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:09:02 】打中炸弹check:ifpw0031, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:09:02 】打中炸弹check:ifpw0031, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:09:03 】打中炸弹check:ifpw0031, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:09:04 】打中炸弹check:ifpw0031, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-02 22:09:05 】打中炸弹check:ifpw0031, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:34 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:34 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:35 】打中炸弹check:46458886, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:35 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:35 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:35 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:35 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:36 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:36 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:36 】打中炸弹check:68990578, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:36 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:36 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:36 】打中炸弹check:68990578, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:36 】打中炸弹check:ifbt001959, 37, 分:0.00,倍数0, 子弹:200
【 2017-11-06 00:29:36 】打中炸弹check:68990578, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:36 】打中炸弹check:ifbt001959, 37, 分:0.00,倍数0, 子弹:200
【 2017-11-06 00:29:36 】打中炸弹check:ifbt001959, 37, 分:0.00,倍数0, 子弹:200
【 2017-11-06 00:29:36 】打中炸弹check:ifbt001959, 37, 分:0.00,倍数0, 子弹:200
【 2017-11-06 00:29:37 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:400
【 2017-11-06 00:29:37 】打中炸弹check:ifbt001959, 37, 分:0.00,倍数0, 子弹:200
【 2017-11-06 00:29:37 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:37 】打中炸弹check:ifbt001959, 37, 分:0.00,倍数0, 子弹:200
【 2017-11-06 00:29:37 】打中炸弹check:0155874, 37, 分:0.00,倍数0, 子弹:400
【 2017-11-06 00:29:37 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
